noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
2261,Non-destructive testers and inspection technicians,3119,Physical and engineering science technicians not elsewhere classified,Non-destructive testers and inspection technicians
2262,Engineering inspectors and regulatory officers,3119,Physical and engineering science technicians not elsewhere classified,Engineering inspectors and regulatory officers (except weights and measures inspectors)
2262,Engineering inspectors and regulatory officers,3359,Regulatory government associate professionals not elsewhere classified,Weights and measures inspectors
2263,Inspectors in public and environmental health and occupational health and safety,3257,Environmental and occupational health inspectors and associates,
2264,Construction inspectors,3112,Civil engineering technicians,Construction inspectors
2271,"Air pilots, flight engineers and flying instructors",3153,Aircraft pilots and related associate professionals,
2272,Air traffic controllers and related occupations,3154,Air traffic controllers,
2273,"Deck officers, water transport",3152,Ships' deck officers and pilots,
2274,"Engineer officers, water transport",3151,Ships' engineers,
2275,Railway traffic controllers and marine traffic regulators,4323,Transport clerks,Railway traffic controllers and marine traffic regulators
2281,Computer network technicians,2522,Systems administrators,
2281,Computer network technicians,3511,Information and communications technology operations technicians,
2281,Computer network technicians,3513,Computer network and systems technicians,
2281,Computer network technicians,3514,Web technicians,Except webmasters
2282,User support technicians,3512,Information and communications technology user support technicians,
2283,Information systems testing technicians,2519,Software and applications developers and analysts not elsewhere classified,Except systems quality assurance analysts
3011,Nursing co-ordinators and supervisors,2221,Nursing professionals,Nursing co-ordinators and supervisors
3012,Registered nurses and registered psychiatric nurses,2221,Nursing professionals,Registered nurses and registered psychiatric nurses
3111,Specialist physicians,2212,Specialist medical practitioners,
3112,General practitioners and family physicians,2211,Generalist medical practitioners,
3113,Dentists,2261,Dentists,
3114,Veterinarians,2250,Veterinarians,
3121,Optometrists,2267,Optometrists and ophthalmic opticians,Optometrists
3122,Chiropractors,3259,Health associate professionals not elsewhere classified,Chiropractors
3124,Allied primary health practitioners,2221,Nursing professionals,Nurse practitioners
3124,Allied primary health practitioners,2222,Midwifery professionals,
3124,Allied primary health practitioners,2240,Paramedical practitioners,
3125,Other professional occupations in health diagnosing and treating,2267,Optometrists and ophthalmic opticians,Orthoptists
3125,Other professional occupations in health diagnosing and treating,2269,Health professionals not elsewhere classified,"Podiatrists, chiropodists and other professional occupations in health diagnosing and treating"
3125,Other professional occupations in health diagnosing and treating,3259,Health associate professionals not elsewhere classified,Osteopaths
3125,Other professional occupations in health diagnosing and treating,2230,Traditional and complementary medicine professionals,Naturopaths
3131,Pharmacists,2262,Pharmacists,
3132,Dietitians and nutritionists,2265,Dieticians and nutritionists,
3141,Audiologists and speech-language pathologists,2266,Audiologists and speech therapists,
